source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
The Muse,21928392,https://www.themuse.com/jobs/spacex/sr-application-software-engineer-13aa73,2026-07-16,SpaceX,Sr. Application Software Engineer,Senior,"Brownsville, TX; Rockledge, FL",3254d2c531489980c7de79b67b720c633614654ad48b82b71ecfc2080a6c1886,0,1,0,0,0,1,0,0,0,1,0,2,1
The Muse,20609838,https://www.themuse.com/jobs/riotgames/staff-software-engineer-console-unpublished-rd-product,2026-07-16,Riot Games,"Staff Software Engineer, Console - Unpublished R&D Product",Staff/Principal,"Los Angeles, CA",472fcee703b740178887c26f1231885bcaaf3abbccdd6885c96de8ee3865743e,1,1,0,1,0,1,0,0,0,1,1,4,3
The Muse,21484372,https://www.themuse.com/jobs/riotgames/senior-software-engineer-aiml-tools-unpublished-rd-product,2026-07-16,Riot Games,"Senior Software Engineer, AI/ML Tools - Unpublished R&D Product",Senior,"Los Angeles, CA",03850b0f01c5da8ff329762d7218ce283baef4d953aa6d4d4e54eb0d3c50cf64,1,1,1,0,0,0,0,0,0,1,1,3,3
Arbeitnow,software-engineer-wien-hamburg-frankfurt-451553,https://www.arbeitnow.com/jobs/companies/everii-group-gmbh/software-engineer-wien-hamburg-frankfurt-451553,2026-07-16,everii Group GmbH,Senior Software Engineer (w/m/d) - Wien | Hamburg | Frankfurt,Senior,Hamburg,83388102c380cb14992659b938386124d7061fa52defe32a3715643d32d83a0c,0,1,0,0,0,1,1,0,0,1,1,3,2
Arbeitnow,senior-full-stack-developerin-furth-107822,https://www.arbeitnow.com/jobs/companies/neobird-digital/senior-full-stack-developerin-furth-107822,2026-07-16,NeoBird Digital,Senior Full Stack Developer*in (m/w/d),Senior,Fürth,0171971504a23c007859ff27ef038f09e1730fe15626f02cd53374b7a1267b6e,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21956008,https://www.themuse.com/jobs/thecocacolacompany/senior-software-engineer-crm-801f98,2026-07-15,The Coca-Cola Company,Senior Software Engineer - CRM,Senior,"Atlanta, GA",9ae5b107a1909f0f11bf91d8d89c159ef9e0a76c4503f7c40caf2348c707be0e,0,1,1,0,1,0,1,0,0,1,1,4,4
Arbeitnow,senior-web-developer-ki-entwickler-100-remote-garrel-180591,https://www.arbeitnow.com/jobs/companies/craftevo-ug-haftungsbeschrankt/senior-web-developer-ki-entwickler-100-remote-garrel-180591,2026-07-15,Craftevo UG (haftungsbeschränkt),Senior Web Developer (m/w/d) / KI-Entwickler 100% Remote,Senior,Garrel,c9d27500c123ea1db14a1cded24339f3cc6c0cd4eb567acf584a37738ab0a2d8,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21784571,https://www.themuse.com/jobs/apple/sr-software-engineer-information-systems-technology-2bdf41,2026-07-15,Apple,"Sr. Software Engineer, Information Systems & Technology",Senior,"Cupertino, CA",4bd96ea42b91823cd73ff31b5edf0cd5f4b5ce9347a0f4ed0358fc5a495f2624,0,1,0,1,0,0,0,0,0,1,1,2,2
The Muse,21750932,https://www.themuse.com/jobs/apple/senior-software-engineer-observability-solutions-enterprise-technology-services-6f1636,2026-07-15,Apple,Senior Software Engineer (Observability Solutions) - Enterprise Technology Services,Senior,"Sunnyvale, CA",0d2c8d6126b4dc1e58cc92263f60adb0774f9d8993251e56fb728c5a11e43103,0,1,0,1,1,1,0,0,0,1,1,4,3
The Muse,21903589,https://www.themuse.com/jobs/apple/sr-arvr-realtime-rendering-and-graphics-software-engineer-realitykit-vision-products-software,2026-07-15,Apple,"Sr. AR/VR Realtime Rendering and Graphics Software Engineer - RealityKit, Vision Products Software",Senior,"Sunnyvale, CA",54a985e146d1de78d1f688eeb8e2f310846e012b31b788d86aede95091682359,0,1,0,1,1,1,0,0,0,1,1,4,3
The Muse,21948942,https://www.themuse.com/jobs/celonis/senior-full-stack-engineer-task-mining,2026-07-15,Celonis,Senior Full Stack Engineer - Task Mining,Senior,"Munich, Germany",3b53d9e72fa337199a0a04fc455874630ed4ec18384e32ee61d7b024fe67b4e1,0,0,0,1,1,1,0,0,0,1,1,3,2
