tier,variable,count,n,percent,ci95_low,ci95_high
Senior,any_socioemotional,130,160,81.2,74.5,86.5
Senior,two_or_more,95,160,59.4,51.6,66.7
Senior,communication,59,160,36.9,29.8,44.6
Senior,collaboration,100,160,62.5,54.8,69.6
Senior,stakeholder_alignment,23,160,14.4,9.8,20.6
Senior,mentoring,41,160,25.6,19.5,32.9
Senior,leadership_influence,53,160,33.1,26.3,40.7
Senior,feedback_review,67,160,41.9,34.5,49.6
Senior,learning_adaptability,31,160,19.4,14.0,26.2
Senior,conflict_negotiation,1,160,0.6,0.1,3.5
Senior,empathy_listening,4,160,2.5,1.0,6.3
Lead,any_socioemotional,10,10,100.0,72.2,100.0
Lead,two_or_more,9,10,90.0,59.6,98.2
Lead,communication,1,10,10.0,1.8,40.4
Lead,collaboration,10,10,100.0,72.2,100.0
Lead,stakeholder_alignment,4,10,40.0,16.8,68.7
Lead,mentoring,4,10,40.0,16.8,68.7
Lead,leadership_influence,4,10,40.0,16.8,68.7
Lead,feedback_review,2,10,20.0,5.7,51.0
Lead,learning_adaptability,0,10,0.0,0.0,27.8
Lead,conflict_negotiation,0,10,0.0,0.0,27.8
Lead,empathy_listening,0,10,0.0,0.0,27.8
Staff/Principal,any_socioemotional,48,52,92.3,81.8,97.0
Staff/Principal,two_or_more,31,52,59.6,46.1,71.8
Staff/Principal,communication,7,52,13.5,6.7,25.3
Staff/Principal,collaboration,32,52,61.5,48.0,73.5
Staff/Principal,stakeholder_alignment,6,52,11.5,5.4,23.0
Staff/Principal,mentoring,19,52,36.5,24.8,50.1
Staff/Principal,leadership_influence,30,52,57.7,44.2,70.1
Staff/Principal,feedback_review,13,52,25.0,15.2,38.2
Staff/Principal,learning_adaptability,4,52,7.7,3.0,18.2
Staff/Principal,conflict_negotiation,1,52,1.9,0.3,10.1
Staff/Principal,empathy_listening,0,52,0.0,0.0,6.9
